query_term         	   pri	prev_rate       	prev_items	prev_span_min	prev_span_max	

twitter               	  5000	  2.988812851614909949	 4448261	2686675736	3290689919	
http                  	  5000	111.997373838068000396	43856137	2632948614	3290738573	
goodnight             	 50000	  0.134997377468133006	  318842	2755206240	3289429674	
itunes                	 50000	  0.108387682997702003	  210305	2754786164	3288187733	
affilaite             	 50000	  0.000073533296370983	    1293	2596925020	3265911858	
affiliate             	 50000	  0.258469405362675986	  148854	2682974375	3290689812	
arrington             	 50000	  0.002668113034577070	    8053	2658316718	3272693137	
babysitter            	 50000	  0.004187851806100950	    9429	2678124784	3274836634	
bored                 	 50000	  0.557307310708180959	  645993	2686849575	3290537744	
breakfast             	 50000	  0.379556081572264004	  330920	2687260137	3290166062	
britney+spears        	 50000	  0.061791714564551202	   45332	2685103763	3290239842	
carburetor            	 50000	  0.000084608677065917	    1284	2502873545	3276743415	
check                 	 50000	  8.333333333333330373	 1802954	2687794155	3290410077	
christmas             	 50000	  0.045609030985987599	   79180	2686083902	3286330336	
church                	 50000	  0.104067451096446995	  297732	2686429189	3289144726	
cloudera              	 50000	  0.000862281060384217	    1520	2504870019	3277018342	
cool                  	 50000	  0.970489264143018948	 1255882	2685384685	3290312586	
day                   	 50000	 10.011787122681100826	 4571047	2687926591	3290613103	
defensive+line        	 50000	  0.000185105716390760	    1640	2503088881	3283905857	
dinner                	 50000	  0.243873511709511992	  622346	2686857580	3289519345	
dissertation          	 50000	  0.002789109435633090	    5960	2675753152	3274781169	
doing                 	 50000	  6.482374768089050221	 1268638	2687609955	3290343635	
drunk                 	 50000	  0.125577599779772009	  271459	2685337370	3289284900	
eyeliner              	 50000	  0.003570767890759110	    8841	2649435001	3274980657	
feel                  	 50000	  1.180903664265990027	 1671004	2687682545	3290347382	
ferragamo             	 50000	  0.000133633350285113	    1691	2503632965	3283555471	
find+work             	 50000	  0.017594337897613398	   29451	2669809081	3284175463	
free                  	 50000	  8.333333333333330373	 1933676	2686682959	3290378349	
get+followers         	 50000	  0.162665636738528990	  341146	2685647991	3289244881	
getting               	 50000	  1.339081288369819989	 1672925	2687747288	3290532598	
got                   	 50000	 10.035879359495899266	 6339002	2692798146	3290450385	
hadoop                	 50000	  0.001802858283703860	    2830	2501794487	3274916359	
hail                  	 50000	  0.014832399777694400	   30173	2675409747	3275985807	
hapaxlegomenon        	 50000	  0.010121845809389600	    1006	2646535741	2646535741	
happy                 	 50000	  1.114340705657969943	 1525441	2686683426	3290432232	
home                  	 50000	  8.333333333333330373	 2542957	2687807726	3290389389	
hope                  	 50000	  1.177362718110299911	 1590834	2686678974	3290476864	
house                 	 50000	  0.811875500670890982	 1270129	2687561362	3290507761	
infochimps            	 50000	  0.005633048036422640	    1013	2541533220	3245549902	
insurance             	 50000	  0.147629132319224005	  164546	2686418187	3288575361	
jonas                 	 50000	  1.234794072654419983	  395847	2686456304	3290448347	
knitting              	 50000	  0.010870951446015600	   20662	2657443515	3274787168	
life                  	 50000	  8.337416013437849216	 1881378	2686672790	3290600366	
like                  	 50000	 10.967614469508299990	 6398356	2692933719	3290473450	
little                	 50000	  0.957667451583415041	 1257701	2687639274	3290746962	
live                  	 50000	  1.075797577336879973	 1594422	2686679515	3290524504	
lol                   	 50000	 11.897938287237399990	 7259190	2687941681	3290511460	
looking               	 50000	  0.975189067452651992	 1205949	2687721063	3290359400	
love                  	 50000	  9.912171634661939734	 4945696	2676962337	3290491414	
lunch                 	 50000	  1.509467387790540016	  570105	2687247352	3290322836	
morning               	 50000	  1.238820700502599959	 1866283	2687940839	3290363472	
mortgage              	 50000	  0.057950933923814903	   54036	2686017813	3287278359	
mrflip                	 50000	  0.004228960478639080	    1022	2501852185	3204580508	
news                  	 50000	  1.400657068516689918	 1384947	2687754227	3290373678	
nice                  	 50000	  1.076901180102719957	 1428079	2686680660	3290544296	
night                 	 50000	  8.333333333333330373	 2627099	2687860142	3290698094	
obama                 	 50000	  0.477827046367510999	  509535	2686863875	3290720534	
osx                   	 50000	  0.007524710085553100	   13209	2682857075	3274836285	
party                 	 50000	  0.612300637469109010	  890840	2687368756	3290465972	
photon                	 50000	  0.000130524104113125	    1830	2648381993	3284959085	
